ID,Title,Content,Excerpt,_la-digue_price,_la-digue_price_method,_la-digue_regular_price,_la-digue_sale_price,_mahe_price,_mahe_price_method,_mahe_regular_price,_mahe_sale_price,_praslin_price,_praslin_price_method,_praslin_regular_price,_praslin_sale_price,price1,price2,Brands,"Product Type","Product categories","Product tags","Image URL","Images Filename","Stock Status","Regular Price","Sale Price",Featured,SKU,"Manage Stock",Stock,"Variation Description"
960,"Wooden Classical Chairs","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>",,,,,,,,,,,,,,,Friboi,simple,"Groceries,Sale","Samsung,Store,T-Shirt,Television",https://shop.ewdc.in/wp-content/uploads/2020/12/7-2.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/9-1.jpg,7-2.jpg||9-1.jpg,instock,405,375,,12345,yes,188.000000,
1046,"Air Fryer with DualZone","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>",,,,,,,,,,,,,,,"Acqua Panna,Fletcher,Friboi,Kraft,Nestle,Paderno",simple,"Accessories,All Appliances,Apparels,Automation,Beauty,Cameras,Children,Clothings,Computer,Console,Electronics,Fashion,Furniture,Furniture Set,Gaming Console,Gedgets,Groceries,Kitchen,Medical Items,Mobile &amp; Tablet,PC &amp; Laptop,Speakers,Sport,TV &amp; Monitor","Ecommercsing,Electronics",https://shop.ewdc.in/wp-content/uploads/2020/12/4-2.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/2-2.jpg,4-2.jpg||2-2.jpg,instock,300,,,12345-1,yes,186,
1047,"Classical Chair","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>",,,,,,,,,,,,,,,"Acqua Panna",simple,"Accessories,Children,Electronics,Groceries",,https://shop.ewdc.in/wp-content/uploads/2020/12/2-2.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/9-1.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/4-2.jpg,2-2.jpg||9-1.jpg||4-2.jpg,instock,905,,,12345-2,yes,186,
1048,"Stainless Steel Freing","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>",,,,,,,,,,,,,,,Nestle,simple,"Accessories,Cameras,Electronics,Groceries,Sale,TV &amp; Monitor","Medical,Monocrome,New Product,Nokia",https://shop.ewdc.in/wp-content/uploads/2020/12/1-3.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/3-2.jpg,1-3.jpg||3-2.jpg,instock,705,545,,12345-3,yes,188.000000,
1061,"Fryer with DualZone","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>",,,,,,,,,,,,,,,Paderno,simple,"Accessories,Cameras,Electronics,Sale,TV &amp; Monitor","Apparels,Beef,Chair",https://shop.ewdc.in/wp-content/uploads/2020/12/3-2.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/1-3.jpg,3-2.jpg||1-3.jpg,instock,305,206,,12345-3-1,yes,186,
1085,"Xanna Note","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>",,,,,,,,,,,,,,,Kraft,simple,"Accessories,Apparels,Cameras,Electronics,Furniture,TV &amp; Monitor","Apparels,Beef,Tupperwear",https://shop.ewdc.in/wp-content/uploads/2020/12/5-2.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/1-3.jpg,5-2.jpg||1-3.jpg,instock,505,,,12345-3-1-1,yes,188.000000,
1092,"New product","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>",,,,,,,,,,,,,,,Nestle,simple,"Accessories,Apparels,Cameras,Electronics,Sale,TV &amp; Monitor","Apparels,Beef,Tupperwear",https://shop.ewdc.in/wp-content/uploads/2020/12/6-2.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/9-1.jpg,6-2.jpg||9-1.jpg,instock,690,580,,12345-3-1-1-1,yes,188.000000,
1093,"Computer Wire","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>",,,,,,,,,,,,,,,Friboi,simple,"Accessories,Apparels,Cameras,Electronics,Furniture,TV &amp; Monitor","Apparels,Electronics",https://shop.ewdc.in/wp-content/uploads/2020/12/8-1.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/9-1.jpg,8-1.jpg||9-1.jpg,instock,390,,,12345-3-1-1-2,yes,187,
1094,"Xanna Note","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>",,,,,,,,,,,,,,,Fletcher,simple,"Accessories,Apparels,Cameras,Electronics,Sale,Speakers,Sport,TV &amp; Monitor","Apparels,Beef,Tupperwear",https://shop.ewdc.in/wp-content/uploads/2020/12/10-1.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/8-1.jpg,10-1.jpg||8-1.jpg,instock,900,805,,12345-3-1-1-3,yes,188.000000,
1095,"Xanna Note","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>",,,,,,,,,,,,,,,Fletcher,simple,"Accessories,Apparels,Cameras,Electronics,TV &amp; Monitor","Apparels,Beef,Tupperwear",https://shop.ewdc.in/wp-content/uploads/2020/12/9-1.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/8-1.jpg,9-1.jpg||8-1.jpg,instock,905,,,12345-3-1-1-4,yes,188.000000,
1096,Note,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>",,,,,,,,,,,,,,,,simple,"Children,Furniture,TV &amp; Monitor","Apparels,Electronics,Television",https://shop.ewdc.in/wp-content/uploads/2020/12/11.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/1-3.jpg,11.jpg||1-3.jpg,instock,850,,,12345-3-1-1-5,yes,182,
1119,"Classical Chairs","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span style=""color: #999999;text-transform: capitalize""><i class=""et-icon et-tick"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>",,,,,,,,,,,,,,,,simple,"Accessories,Children,Clothings,Computer,Furniture,Groceries",,https://shop.ewdc.in/wp-content/uploads/2020/12/13.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/4-2.jpg,13.jpg||4-2.jpg,instock,905,,,12345-2-1,yes,182,
1120,"Wooden Classical","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure anything embarrassing. Suspendisse etiam a suspendisse urna vitae natoque ut a ante vestibulum.
Quis commodo consequat feugiat sapien ut tempor laoreet a suspendisse arcu parturient proin nulla tortor inceptos elementum penatibus vestibulum ac in sagittis ac maecenas natoque felis quam. Venenatis varius a quam quis cum placerat.
<img src=""https://shop.ewdc.in/wp-content/uploads/2020/12/Image-1-3.jpg"" alt="""" width=""1032"" height=""378"" />
Leo elit dui adipiscing ad eleifend congue primis curabitur etiam mi scelerisque nibh habitasse consectetur sapien lacinia condimentum eget. Gravida cubilia justo lacinia scelerisque purus justo orci a vestibulum donec primis suspendisse dignissim class tortor phasellus vestibulum duis ullamcorper natoque leo cursus.","<p style=""text-transform: capitalize"">Uses a dictionary of over combined wth a handful of model sentence structures, to generatein lorem Isum which looks reasonable.</p>
<span><i class=""et-icon et-star"" style=""margin-right: 10px""></i> DPI Selection:2600/2000/1600/1200</span>
<span><i class=""et-icon et-time"" style=""margin-right: 10px""></i> Connect Directly To Suspension</span>",,,,,,,,,,,,,,,,simple,"Accessories,Children,Electronics,Groceries",,https://shop.ewdc.in/wp-content/uploads/2020/12/12.jpg||https://shop.ewdc.in/wp-content/uploads/2020/12/14.jpg,12.jpg||14.jpg,instock,760,,,12345-2-2,yes,188.000000,
